Contract_Payment_Month-to-month_Electronic check,InternetService_Fiber optic,Contract_Two year,OnlineSecurity_No internet service,Contract_One year,OnlineBackup_No internet service,InternetService_No,DeviceProtection_No internet service,StreamingMovies_Yes,tenure,HighMonthlyCharges,OnlineSecurity_Yes,PhoneService_Yes,PaperlessBilling_Yes,TechSupport_Yes,LongTenure,TotalCharges,MultipleLines_Yes,MonthlyCharges,Contract_Payment_Month-to-month_Credit card (automatic),AvgChargesPerMonth,StreamingTV_Yes,OnlineBackup_Yes,MultipleLines_No phone service,SeniorCitizen,Churn
1,0,0,0,0,0,0,0,0,-1.2802480369298874,-0.9991471213800188,0,0,1,0,-0.6834760994738991,-0.9941940877241976,0,-1.1616939352451685,0,-1.1578889425733965,0,1,1,-0.440327089412664,0
0,0,0,0,1,0,0,0,0,0.0643026851883519,-0.9991471213800188,1,1,0,0,-0.6834760994738991,-0.1737398182504072,0,-0.2608779199297493,0,-0.305657711029228,0,0,0,-0.440327089412664,0
0,0,0,0,0,0,0,0,0,-1.2395040756535771,-0.9991471213800188,1,1,1,0,-0.6834760994738991,-0.9596491092068434,0,-0.3639232943754246,0,-0.3553046138958816,0,1,0,-0.440327089412664,1
0,0,0,0,1,0,0,0,0,0.512486259227765,-0.9991471213800188,1,0,0,1,-0.6834760994738991,-0.1952477071740473,0,-0.747850415293989,0,-0.7916137874149846,0,0,1,-0.440327089412664,0
1,1,0,0,0,0,0,0,0,-1.2395040756535771,1.000853606642837,0,1,1,0,-0.6834760994738991,-0.94045745447498,0,0.1961781764018748,0,0.3652819350715464,0,0,0,-0.440327089412664,1
1,1,0,0,0,0,0,0,1,-0.9950403079957154,1.000853606642837,0,1,1,0,-0.6834760994738991,-0.6453692184426381,1,1.1584890119510036,0,1.2511064340608156,1,0,0,-0.440327089412664,1
0,1,0,0,0,0,0,0,0,-0.4246248501273714,1.000853606642837,0,1,1,0,-0.6834760994738991,-0.1473126890908986,1,0.8078023344020117,1,0.7888241856401756,1,1,0,-0.440327089412664,0
0,0,0,0,0,0,0,0,0,-0.9135523854430948,-0.9991471213800188,1,0,0,0,-0.6834760994738991,-0.8741690378436584,0,-1.1650179795821258,0,-1.1466246011182737,0,0,1,-0.440327089412664,0
1,1,0,0,0,0,0,0,1,-0.1801610824695097,1.000853606642837,0,1,1,1,-0.6834760994738991,0.3365155445113557,1,1.3296772953043026,0,1.4573432739377004,1,0,0,-0.440327089412664,1
0,0,0,0,1,0,0,0,0,1.2051336009250395,-0.9991471213800188,1,1,0,0,1.4631089525584626,0.5314762853391823,0,-0.2874702746254075,0,-0.2830054963020418,0,1,0,-0.440327089412664,0
